No,Pattern Category,Pattern Name,Keywords,Problem,Solution,Do,Don't,Code Example,Anti-Pattern,When to Use,Trust Impact,Severity
1,Streaming,Token Streaming,streaming stream tokens typing generate realtime SSE,"Users stare at a blank screen while a long answer is generated, feels frozen and slow",Render tokens as they arrive so the user sees progress within ~300ms and can start reading immediately,Stream text incrementally and auto-scroll to keep the newest line visible,Wait for the full response then dump it all at once,for await (const chunk of stream) { el.textContent += chunk.delta },const res = await fetch(); el.textContent = await res.text() // one big blob,Any LLM chat or completion UI where responses exceed one sentence,High,High
2,Streaming,Stop Generation Control,stop cancel abort halt interrupt streaming,Model goes off on a wrong tangent and the user is forced to wait for it to finish,Show a Stop button while streaming that aborts the request and keeps the partial text,Swap the Send button for a Stop button during generation and wire it to an AbortController,Disable all controls until the model finishes,<button onClick={() => controller.abort()}>Stop</button>,<button disabled>Sending...</button> with no way to cancel,"Every streaming response, especially long-form or agentic runs",High,High
3,Streaming,Reasoning Disclosure,thinking reasoning chain-of-thought collapsible steps trace,Chain-of-thought is either hidden (feels like a black box) or dumped raw (overwhelming),Put reasoning in a collapsed 'Thinking' section that users can expand on demand,Collapse reasoning by default with a subtle 'Thought for 4s' summary label,Force the full reasoning trace inline above every answer,<details><summary>Thought for 4s</summary>{reasoning}</details>,<div>{fullChainOfThought}</div>{answer} // always expanded,Reasoning models where the thinking trace adds trust but not primary value,Medium,Medium
4,Streaming,Streaming Cursor,cursor caret blink typing indicator generating,Users cannot tell whether the stream is still active or has silently stalled,Show a blinking cursor or caret at the end of streaming text; remove it when done,Append an animated caret span while streaming and drop it on completion,Leave text static with no signal that more is coming,<span class='animate-pulse'>▌</span> // appended while streaming,no indicator; user cannot distinguish 'done' from 'stalled',Text streaming interfaces to signal liveness,Low,Low
5,Streaming,Progressive Markdown,markdown rendering code block partial parse format,Streaming raw markdown shows broken tables and unclosed code fences mid-generation,"Parse and render markdown incrementally, tolerating unclosed blocks until they complete",Use a streaming-tolerant markdown parser and render code blocks once the fence closes,Re-parse the entire document on every token (janky) or show raw asterisks,"render(md, { streaming: true }) // tolerates open ``` fences",el.innerHTML = fullMarkdownString // flickers and shows raw syntax,Chat UIs rendering markdown or code from a stream,Medium,Medium
6,Prompt Input,Multiline Composer,composer textarea enter shift-enter newline submit,"Enter submits too early when users want a new line, or newline blocks quick sending","Enter sends, Shift+Enter adds a newline; auto-grow the textarea up to a max height","Bind Enter to submit and Shift+Enter to newline, with an auto-resizing textarea",Make users click a tiny Send button for every message,onKeyDown: if (e.key==='Enter' && !e.shiftKey) { send(); e.preventDefault() },onKeyDown: if (e.key==='Enter') send() // blocks multiline entirely,Any conversational prompt input,Low,High
7,Prompt Input,Starter Suggestions,suggestions starters prompts chips examples empty first-run,A blank prompt box gives new users no idea what the AI can actually do,Offer 3-4 tappable example prompts on the empty state to teach capability and lower the barrier,Show contextual example chips that populate the composer when clicked,Present an empty box with only a generic 'Ask me anything' placeholder,<button onClick={() => setInput(example)}>{example}</button>,<textarea placeholder='Ask me anything' /> // no guidance,First-run / empty state of any AI assistant,Medium,Medium
8,Prompt Input,Slash Commands,slash command menu shortcut autocomplete actions,Power users need fast access to modes and actions without leaving the keyboard,Trigger a command menu on '/' with fuzzy search over available actions,Open an anchored command palette on '/' and filter as the user types,Hide all actions behind nested menus that require mouse navigation,"if (input === '/') openCommandMenu()  // /summarize, /translate, /image",buried settings menu; no keyboard command discovery,Feature-rich assistants with multiple modes or tools,Low,Low
9,Prompt Input,Context Length Meter,context window tokens limit meter truncation budget,Users hit the context limit unexpectedly and lose earlier messages silently,Show a subtle token/context usage meter and warn before truncation happens,Display used/total context and warn at ~90% before older turns are dropped,Silently drop earlier messages with no warning when the window fills,<meter value={used} max={window}></meter> {used}/{window} tokens,silently truncate history; user wonders why the AI 'forgot',Long conversations or document-heavy chats near model limits,Medium,Medium
10,Prompt Input,Multimodal Attachment,attachment upload image file paste drag drop multimodal,Users cannot tell whether images/files are supported or that an upload succeeded,"Provide a clear attach affordance plus paste and drag-drop, with per-file preview and remove",Show thumbnail previews with a remove (x) and validate type/size before sending,Accept a raw file path field with no preview or validation feedback,<div>{files.map(f => <Thumb file={f} onRemove={...}/>)}</div>,"<input type='file'> with no preview, no error on unsupported type",Vision or document-capable AI products,Low,Medium
11,Tool Use,Tool Call Visualization,tool call function agent action transparency step,"When the agent calls tools, users see a long pause with no idea what is happening","Surface each tool call as a labeled step ('Searching the web...', 'Reading file X') in real time",Render each tool invocation as a compact status line with its name and target,Hide tool activity behind a single ambiguous 'Working...' spinner,"<div class='step'>🔍 Searching web: ""{query}""</div>",<Spinner/> // opaque; user cannot tell what the agent is doing,Agentic or tool-using assistants,High,High
12,Tool Use,Human-in-the-Loop Confirm,confirmation approval destructive human-in-the-loop guardrail action,"Autonomous agents can send emails, delete data, or spend money without user consent","Require explicit user approval before any irreversible or outward-facing action, showing exact details","Pause and show a confirmation card with the concrete action, target, and cost before executing",Let the agent execute side-effectful actions automatically and report after the fact,<Confirm action='Send email to client@co' onApprove={run} onDeny={skip}/>,await sendEmail(draft) // fires without asking the user,Any agent that can take irreversible or external actions,High,High
